date,venue,race_no,horse_name,horse_number,draw,weight,rating,age,sex,trainer,jockey,win_odds
,,1,"Captain Fenkel (AUS)",1,7,130,76,,,"M Beer & G Carpenter","Hugh Bowman",12
,,1,"I Park (NZ)",2,6,126,72,,,"Lauren Brennan","Tim Clark",7.8
,,1,"Le Troisir (NZ)",3,1,126,72,,,"Chris Waller","James McDonald",2.0
,,1,"Golden Century (NZ)",4,15,125,71,,,"Chris Waller","Tommy Berry",15
,,1,"Amplify (AUS)",5,6,123,74,,,"Ciaron Maher","TBC",
,,1,"Foire De Trone (NZ)",6,4,123,74,,,"Ciaron Maher","Ethan Brown",8.2
,,1,"Skycatcher (NZ)",7,14,123,70,,,"M Price & M Kent (Jnr)","Dylan Gibbons",17
,,1,"Celebrity (NZ)",8,12,122,69,,,"Bjorn Baker","Rachel King",22
,,1,"Forbidden Riff (AUS)",9,2,121,68,,,"R & W Freedman","Kerrin McEvoy",24
,,1,"Trapalanda (IRE)",10,11,121,68,,,"A & R Archibald","Tom Sherry",10
,,1,"Spacetime Legend (AUS)",11,8,119,59,,,"Joel Wilkes","Mikayla Weir",118
,,1,"Michelangelo (AUS)",12,9,117,63,,,"Dean Mirfin","Ben Thompson",29
,,1,"Seo Linn (IRE)",13,5,115,66,,,"Chris Waller","Tyler Schiller",91
,,1,"Anulfa (AUS)",14,3,115,59,,,"Stephen Hill","M Fitzgerald (a) (-7)",72
,,1,"Chuckler (AUS)",15,10,115,58,,,"Jack Pilkington","Reece Jones",122
,,1,"Autafinna (NZ)",16,13,115,54,,,"Patrick Cleave","Alysha Collett",57
,,2,"King Of The Sea (GB)",1,9,133,79,,,"Ciaron Maher","James McDonald",1.7
,,2,"The Creator (NZ)",2,1,133,79,,,"M Price & M Kent (Jnr)","Tommy Berry",5.6
,,2,"Montpellier (GB)",3,4,130,76,,,"A & R Archibald","M Fitzgerald (a) (-7)",12
,,2,"Walking Painting (GB)",4,8,130,76,,,"R & W Freedman","W Stanley (a) (-7)",75
,,2,"Zenmaster (AUS)",5,10,130,76,,,"Craig Carmody","Winona Costin",28
,,2,"Inquiring Minds (GB)",6,12,129,75,,,"J O'Shea & T Charlton","Hugh Bowman",42
,,2,"Zouna (AUS)",7,3,129,75,,,"J O'Shea & T Charlton","Kerrin McEvoy",25
,,2,"Pier Pressure (AUS)",8,7,127,77,,,"Kris Lees","Dylan Gibbons",
,,2,"Puntin (NZ)",9,5,127,73,,,"Bjorn Baker","Adam Hyeronimus",12
,,2,"Cosmeena (AUS)",10,6,126,76,,,"Michael Vella","Rachel King",36
,,2,"Champagne Hero (AUS)",11,15,125,71,,,"G Waterhouse & A Bott","Tim Clark",
,,2,"Avista (AUS)",12,14,123,74,,,"P Messara/L Gavranich","Braith Nock (a) (-3)",
,,2,"Cape Byron (AUS)",13,10,122,69,,,"M & M Conners","TBC",
,,2,"Barking Mad (AUS)",14,7,121,68,,,"Chris Waller","Tyler Schiller",11
,,2,"Scalextrics (AUS)",15,2,121,68,,,"Matthew Smith","Ashley Morgan",93
,,2,"Anthracite (NZ)",16,11,120,67,,,"Joseph Pride","Andrew Adkins",18
,,2,"I've Bean Tryin' (AUS)",17,2,120,67,,,"Matthew Kelley","Alysha Collett",
,,3,"Changingoftheguard (IRE)",1,4,131,113,,,"Kris Lees","Tim Clark",15
