date,venue,race_no,horse_name,horse_number,draw,weight,rating,age,sex,trainer,jockey,win_odds,winner
,,1,Captain Fenkel (AUS),1,7,130,76.0,,,M Beer & G Carpenter,Hugh Bowman,12.0,0
,,1,I Park (NZ),2,6,126,72.0,,,Lauren Brennan,Tim Clark,7.8,0
,,1,Le Troisir (NZ),3,1,126,72.0,,,Chris Waller,James McDonald,2.0,1
,,1,Golden Century (NZ),4,15,125,71.0,,,Chris Waller,Tommy Berry,15.0,0
,,1,Foire De Trone (NZ),6,4,123,74.0,,,Ciaron Maher,Ethan Brown,8.2,0
,,1,Skycatcher (NZ),7,14,123,70.0,,,M Price & M Kent (Jnr),Dylan Gibbons,17.0,0
,,1,Celebrity (NZ),8,12,122,69.0,,,Bjorn Baker,Rachel King,22.0,0
,,1,Forbidden Riff (AUS),9,2,121,68.0,,,R & W Freedman,Kerrin McEvoy,24.0,0
,,1,Trapalanda (IRE),10,11,121,68.0,,,A & R Archibald,Tom Sherry,10.0,0
,,1,Spacetime Legend (AUS),11,8,119,59.0,,,Joel Wilkes,Mikayla Weir,118.0,0
,,1,Michelangelo (AUS),12,9,117,63.0,,,Dean Mirfin,Ben Thompson,29.0,0
,,1,Seo Linn (IRE),13,5,115,66.0,,,Chris Waller,Tyler Schiller,91.0,0
,,1,Anulfa (AUS),14,3,115,59.0,,,Stephen Hill,M Fitzgerald (a) (-7),72.0,0
,,1,Chuckler (AUS),15,10,115,58.0,,,Jack Pilkington,Reece Jones,122.0,0
,,1,Autafinna (NZ),16,13,115,54.0,,,Patrick Cleave,Alysha Collett,57.0,0
,,2,King Of The Sea (GB),1,9,133,79.0,,,Ciaron Maher,James McDonald,1.7,1
,,2,The Creator (NZ),2,1,133,79.0,,,M Price & M Kent (Jnr),Tommy Berry,5.6,0
,,2,Montpellier (GB),3,4,130,76.0,,,A & R Archibald,M Fitzgerald (a) (-7),12.0,0
,,2,Walking Painting (GB),4,8,130,76.0,,,R & W Freedman,W Stanley (a) (-7),75.0,0
,,2,Zenmaster (AUS),5,10,130,76.0,,,Craig Carmody,Winona Costin,28.0,0
,,2,Inquiring Minds (GB),6,12,129,75.0,,,J O'Shea & T Charlton,Hugh Bowman,42.0,0
,,2,Zouna (AUS),7,3,129,75.0,,,J O'Shea & T Charlton,Kerrin McEvoy,25.0,0
,,2,Puntin (NZ),9,5,127,73.0,,,Bjorn Baker,Adam Hyeronimus,12.0,0
,,2,Cosmeena (AUS),10,6,126,76.0,,,Michael Vella,Rachel King,36.0,0
,,2,Barking Mad (AUS),14,7,121,68.0,,,Chris Waller,Tyler Schiller,11.0,0
,,2,Scalextrics (AUS),15,2,121,68.0,,,Matthew Smith,Ashley Morgan,93.0,0
,,2,Anthracite (NZ),16,11,120,67.0,,,Joseph Pride,Andrew Adkins,18.0,0
,,3,Changingoftheguard (IRE),1,4,131,113.0,,,Kris Lees,Tim Clark,15.0,0
,,3,Thebudgiesmugla (NZ),2,6,121,101.0,,,Bjorn Baker,Dylan Gibbons,5.8,0
,,3,Boniface (FR),5,5,119,94.0,,,M Price & M Kent (Jnr),Tommy Berry,2.4,1
,,3,Sky Lab (AUS),6,2,119,86.0,,,Paul Perry,Shannen Llewellyn (a),70.0,0
,,3,Matusalem (AUS),7,7,118,98.0,,,Chris Waller,Tyler Schiller,9.1,0
,,3,Belvedere Boys (AUS),8,8,117,101.0,,,Matthew Dunn,Kerrin McEvoy,28.0,0
,,3,So You Are (AUS),9,3,117,99.0,,,Bjorn Baker,Rachel King,3.3,0
,,3,Elliptical (AUS),10,1,117,94.0,,,Chris Waller,Andrew Adkins,10.0,0
,,4,Savvy Hallie (AUS),1,6,130,111.0,,,Brad Widdup,Nash Rawiller,2.7,1
,,4,Apocalyptic (AUS),2,5,129,109.0,,,Michael Freedman,Tommy Berry,2.7,0
,,4,Catch The Glory (AUS),5,7,127,107.0,,,Jason Coyle,Adam Hyeronimus,19.0,0
,,4,Karinska (AUS),7,4,117,101.0,,,Chris Waller,Tyler Schiller,22.0,0
,,4,Stardom (AUS),8,3,117,100.0,,,G Waterhouse & A Bott,Rachel King,13.0,0
,,5,Cherry Bomshell (AUS),1,2,126,103.0,,,A & R Archibald,Ben Thompson,2.9,1
,,5,Pembrey (AUS),2,9,123,104.0,,,Tony Gollan,James McDonald,4.8,0
